,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA,3PT%,PTS,DREB,OREB,REB,AST,ST,BLK,TO,zFGM,zFGA,zFG%,zFTM,zFTA,zFT%,z3PTM,z3PTA,z3PT%,zPTS,zDREB,zOREB,zREB,zAST,zST,zBLK,zTO,zTotal,is_g,is_pg,is_sg,is_f,is_sf,is_pf,is_c,is_util,num_elig_positions,rand_team,cat_win,cat_loss,matchup_win,matchup_loss,cat_perc,matchup_perc
12,Anthony Davis,9.236,18.073,0.511,7.018,8.309,0.845,1.182,3.527,0.335,26.673,7.145,2.255,9.4,3.127,1.491,2.436,2.455,2.176,1.814,1.582,3.2260000000000004,3.01,1.875,-0.228,-0.131,-0.438,2.325,1.814,1.4369999999999998,1.807,0.18,1.76,4.1389999999999985,-1.082,1.486,0,0,0,1,0,1,1,1,4,0,39334.0,22765.0,11301.0,6509.0,0.6334079453775423,0.6345311622683886
158,Kawhi Leonard,9.333,19.922,0.469,6.098,6.863,0.889,2.0980000000000003,5.725,0.366,26.863000000000003,6.294,1.02,7.314,4.98,1.804,0.608,2.745,2.222,2.233,0.273,2.629,2.244,2.575,0.8,0.82,0.207,2.357,1.349,-0.059,0.971,1.149,2.625,0.192,-1.433,1.244,1,0,1,1,1,0,0,1,5,0,28082.0,21432.0,8003.0,6107.0,0.5671527244819647,0.5671863926293409
125,James Harden,9.885,22.721,0.435,10.148,11.787,0.861,4.4430000000000005,12.607,0.35200000000000004,34.361,5.311,1.0490000000000002,6.3610000000000015,7.377000000000002,1.7380000000000002,0.8690000000000001,4.475,2.483,2.867,-1.007,5.256,4.854,3.31,3.431,3.799,-0.5589999999999999,3.605,0.813,-0.023,0.589,2.401,2.442,0.755,-3.52,1.853,1,1,1,0,0,0,0,1,4,0,26481.0,20549.0,7581.0,5844.0,0.5630661280034019,0.5646927374301676
108,Hassan Whiteside,6.852,11.082,0.618,2.508,3.689,0.68,0.066,0.115,0.5710000000000001,16.279,10.246,4.0,14.246,1.213,0.393,3.0660000000000003,1.918,1.048,0.232,3.037,0.299,0.561,-1.229,-1.481,-1.608,0.189,0.595,3.507,3.55,3.749,-0.82,-1.272,5.497000000000001,-0.435,0.907,0,0,0,0,0,0,1,1,2,0,27540.0,22827.0,7903.0,6487.0,0.5467865864554172,0.5492008339124392
140,John Collins,8.61,14.755999999999998,0.583,2.927,3.659,0.8,1.439,3.585,0.401,21.585,7.317,2.829,10.146,1.463,0.7559999999999999,1.61,1.829,1.879,1.064,3.1460000000000004,0.5710000000000001,0.546,0.274,0.061,-0.106,0.818,1.4780000000000002,1.908,2.133,2.106,-0.6890000000000001,-0.27,2.355,-0.328,0.997,0,0,0,1,0,1,1,1,4,0,34261.0,28921.0,9824.0,8231.0,0.5422588711974929,0.5441152035447244
179,Kyrie Irving,9.95,20.8,0.478,4.7,5.1,0.922,2.8,7.1,0.394,27.4,4.05,1.1,5.15,6.4,1.35,0.5,2.6,2.513,2.432,0.64,1.721,1.31,2.487,1.588,1.415,1.297,2.446,0.124,0.038,0.104,1.89,1.37,-0.041,-1.258,1.181,1,1,1,0,0,0,0,1,4,0,25486.0,21586.0,7295.0,6150.0,0.5414259007477906,0.5425808850873931
101,Giannis Antetokounmpo,10.93,19.982,0.547,6.3329999999999975,10.0,0.633,1.456,4.754,0.306,29.649,11.456,2.281,13.737,5.772,1.035,1.018,3.667,2.977,2.247,2.991,2.781,3.907,-4.9289999999999985,0.08,0.4,-1.339,2.821,4.167,1.4680000000000002,3.545,1.5619999999999998,0.5,1.0759999999999998,-2.545,1.277,0,0,0,1,1,1,0,1,4,0,24205.0,21220.0,6945.0,6010.0,0.5328563566318106,0.5360864531069085
136,Jimmy Butler,6.074,13.37,0.454,7.556,9.074,0.833,0.537,2.167,0.248,20.241,4.833,1.815,6.648,6.13,1.704,0.537,2.185,0.68,0.75,-0.14,3.574,3.4160000000000004,1.6780000000000002,-0.952,-0.72,-1.251,1.254,0.551,0.904,0.7040000000000001,1.749,2.3480000000000003,0.039,-0.757,0.813,1,0,1,1,1,0,0,1,5,0,26506.0,23247.0,7601.0,6579.0,0.5327517938616767,0.5360366713681242
157,Karl-Anthony Towns,9.029,17.771,0.508,5.143,6.4570000000000025,0.7959999999999999,3.257,7.914,0.412,26.457,8.086,2.714,10.8,4.371,0.943,1.2,3.143,2.0780000000000003,1.746,1.463,2.009,2.029,0.401,2.101,1.768,2.162,2.289,2.327,1.993,2.3680000000000003,0.83,0.246,1.47,-1.913,1.492,0,0,0,0,0,0,1,1,2,0,25838.0,23202.0,7448.0,6607.0,0.5268760195758564,0.5299181785841338
221,Nikola Jokic,7.877000000000002,14.908,0.528,3.354,4.123,0.813,1.092,3.477,0.314,20.2,7.815,2.385,10.2,6.862,1.185,0.662,3.108,1.533,1.098,1.756,0.848,0.792,0.496,-0.329,-0.153,-0.8170000000000001,1.248,2.18,1.594,2.128,2.132,0.914,0.308,-1.87,0.815,0,0,0,1,0,1,1,1,4,0,32287.0,29249.0,9275.0,8345.0,0.5246847373894956,0.5263904653802497
